cleaned_position,new_position
Field Security Coordinator,
Field Security Support Officer,
Field service engineer,
Field Service Supervisor,
Field Service Technician,
Field Staff,
Field Supervisor,
Field Support Supply Chain & Admin Manager,
Field transitor,
Field work and marketing,
Field Work Supervisor,
Field work Supervisor-Livelihood,
Field Worker,
Field/Site HR Officer,
Fiels sales representatives,
Fighting Inequality Program Manager,
Figma Designer,
Figma UI designer,
File Clerk,
file decompileing,
Filed sales person,
Filed sales representative,
Filing and VAT Clerk,
Filling Operator,
Filling out embasssy form and appointment,
Film and Video Development Desk Head,
Film and Video Editor,
Film mounting and printing services,
Film Operator,
Film Producer's Personal /Social Media Manager (Female Applicants only),
Film production manager,
Final bsc thesis project,
Final Thesis Advisor for BSc of Computer Science,
Final Transformers Assembly & connection Supervisors & Technicians,
Finance - Future Leadership Program Trainee,
Finance & Admin Assistant,
Finance & Investment Appraisal officer,
Finance / Finance Manager,
Finance Admin,
Finance Advisor,
finance and admin intern,
Finance and admin Officer,
finance and administration assistant,
finance and administration officer,
Finance and Compliance Officer,
Finance and Grants Officer,
Finance and HR Admin,
Finance and HR Officer,
Finance and Human Resources Manager,
Finance and Infrastructure Sector Monitoring and Evaluation,
Finance and Infrastructure Sector Monitoring and Evaluation Expert,
Finance and Inventory Control,
Finance and Operation Officer,
Finance and Operations Director,
Finance and Operations Manager,
Finance and Operations Officer,
Finance and Procurement Department Head,
Finance and Procurement Executive,
Finance and Procurement Manager,
Finance and Procurement Team Leader,
Finance and Reporting Manager,
Finance Archive Officer,
Finance Assistant,
Finance Association,
Finance Auditor,
Finance Business Partner,
Finance Clerk (Documentation),
Finance Consultant,
Finance Controller,
Finance Coordinator,
Finance Coordinator for Donor Reports and Budgets,
Finance Data Encoder,
Finance Department,
Finance Director,
Finance Documentation Officer,
Finance Executive,
Finance Expert,
Finance Grants Specialist,
Finance Head,
Finance HR Administration Head,
Finance HR Administrator and Receptionist,
Finance HR Officer,
Finance HR Specialist,
Finance Investment Department Director,
Finance Investment Division,
Finance Lead,
Finance Manager,
Finance Manger,
Finance Officer,
Finance Officer-Risk and Compliance,
Finance Operation Manager,
Finance Procurement Coordinator,
Finance Procurement Department Head,
Finance Procurement Facilitators,
Finance Reconciliation Officer,
Finance Related,
Finance Sector Expert,
Finance Service Manager,
Finance Specialist,
Finance Tax Manager,
Finance Team Leader,
"Finance, Cost and Budget Administration Department Manager",
"Finance, HR and Office Administrator",
Financial Accounting Standards,
Financial Analyst,
Financial and Compliance Auditor,
"Financial and Economic Crimes Information Reception, Collection, Monitoring, Dissemination, and Operations",
Financial and Economic Crimes Monitoring and Operations,
Financial and Economic Crimes Monitoring and Operations Expert,
financial and investment analysts,
Financial and Operational Auditor,
Financial and Tax Accountant,
Financial Assistance,
Financial Audit Professional,
Financial Audit Team Leader,
Financial Auditor,
financial authority and accountability,
"financial clerks, all other",
financial closing,
Financial Consultant,
Financial Cooperative Accounting System Expansion Professional,
Financial Cooperative Development,
Financial Cooperative Organizer,
Financial Coordinator,
Financial Crimes Information Analysis,
"Financial Crimes Information Reception, Collection, and Dissemination",
Financial Crimes Research,
Financial data analyst,
Financial Examiners,
Financial Inclusion,
Financial Inclusion Officer,
Financial legal advisor,
Financial Management Technical Specialist (Technical Advisor III),
Financial Manager,
Financial Markets Lead,
Financial Modeling Expert,
Financial Officer,
Financial Operations Manager,
Financial Personeel,
Financial Planner,
Financial Planning and Analysis Associate,
Financial Planning and Control Manager,
Financial Projection for a Startup,
Financial Proposal Writer,
Financial Report Review and Profession Quality Assurance Executive,
Financial Reporter,
Financial Reporting and Analysis Officer,
Financial Reporting Officer,
Financial Service Advisor,
Financial Service for the Poor Technical Lead,
Financial Specialist,
Financial Specialists,
Financial Systems Expert,
Financial Technical Assistant,
Financial Transaction,
"Financial, Audit and Assurance Standards, and Corporate Governance",
Financing,
Financing Analysis and Appraisal Officer,
Financing and Purchasing,
Financing Portfolio Officer,
Finding Sponsorship for Radio Program,
"Fine Artists, Including Painters, Sculptors, and Illustrators",
Finish Language Teacher,
Finished Goods Clerk,
Finished Goods Store Outbound Officer,
Finished Goods Warehouse Division Manager,
Finishing and Interior Designer,
Finishing Construction Foreman,
Finishing Construction Worker,
Finishing Department Manager,
Finishing Machine Operator,
Finishing Works Manager,
FinTech Manager,
Fire and Emergency Disaster Prevention and Control,
Fire and Emergency Disaster Prevention Inspector,
Fire Inspectors and Investigators,
Fire Safety,
Firebase expert,
Firefighters,
Firefighting Technician,
Fire-Prevention and Protection Engineers,
First Degree graduate in Automotive electrical or Mechanical Engineering /Technology,
First Lady's Office Head,
First Lady's Projects Monitoring,
first-line supervisors of air crew members,
first-line supervisors of all other tactical operations specialists,
first-line supervisors of construction trades and extraction workers,
first-line supervisors of correctional officers,
"first-line supervisors of entertainment and recreation workers, except gambling services",
"first-line supervisors of farming, fishing, and forestry workers",
first-line supervisors of firefighting and prevention workers,
first-line supervisors of food preparation and serving workers,
first-line supervisors of gambling services workers,
"first-line supervisors of helpers, laborers, and material movers, hand",
first-line supervisors of housekeeping and janitorial workers,
"first-line supervisors of landscaping, lawn service, and groundskeeping workers",
first-line supervisors of material-moving machine and vehicle operators,
"first-line supervisors of mechanics, installers, and repairers",
first-line supervisors of non-retail sales workers,
first-line supervisors of office and administrative support workers,
first-line supervisors of passenger attendants,
first-line supervisors of personal service workers,
first-line supervisors of police and detectives,
first-line supervisors of production and operating workers,
"first-line supervisors of protective service workers, all other",
first-line supervisors of retail sales workers,
first-line supervisors of security workers,
"first-line supervisors of transportation workers, all other",
first-line supervisors of weapons specialists/crew members,
Fiscal Planning and Analysis,
fish and game wardens,
Fish Development Mechanization Technology Supply,
Fish Fry and Feed Supply,
Fish Fry Multiplication and Distribution,
Fish Production Development,
Fish Resource Development,
Fish Resource Development and Management,
Fish Resource Development Extension,
Fish Resource Development Technology,
"fish, pig, and bee farming team leader",
fishing,
fishing and hunting workers,
fitness and wellness coordinators,
