Informal Works in English,Profession  in Amharic,Professional / Informal,sector,sub sector
Emergency Woreda Coordinator & GBV Officer,የአደጋ ጊዜ ወረዳ አስተባባሪ እና የGBV ኦፊሰር,P,,
Employability and Life Skills Trainer,የስራ እድል እና የህይወት ችሎታ አሰልጣኝ,P,,
"Employability, skills development and training officer","የቅጥር ችሎታ, የክህሎት ልማት እና የስልጠና መኮንን",P,,
Employee Records & HR Data Analytics Officer,የሰራተኛ መዝገቦች እና የሰው ሰራሽ ውሂብ ትንታኔ ኦፊሰር,P,,
Employee Records & HR Data Analytics Officer Level II,የሰራተኛ መዝገቦች እና የሰው ሃይል ዳታ ትንታኔ ኦፊሰር ደረጃ II,P,,
Employee Recruitment & Placement Officer,የሰራተኛ ምልመላ እና ምደባ ኦፊሰር,P,,
Employee Relation Manager,የሰራተኛ ግንኙነት አስተዳዳሪ,P,,
Employee Relation Officer,የሰራተኛ ግንኙነት ኦፊሰር,P,,
Employee Relations & Safety Officer,የሰራተኛ ግንኙነት እና ደህንነት መኮንን,P,,
"Employee Relations, Training and Development Lead","የሰራተኞች ግንኙነት, ስልጠና እና ልማት መሪ",P,,
Employees Restaurant Supervisor,የሰራተኞች ምግብ ቤት ተቆጣጣሪ,P,,
EMPOWERMENT AND BDS PROVIDERS,ማጎልበት እና BDS አቅራቢዎች,U,,
Empty Goods Supervisor,ባዶ እቃዎች ተቆጣጣሪ,U,,
Empty WH Supervisor,ባዶ የ WH ሱፐርቫይዘር,P,,
Enabling Environment Advisor,የአካባቢ አማካሪን ማንቃት,U,,
Enabling environment and partnership manager/Lead,የአካባቢ እና የአጋርነት አስተዳዳሪን ማንቃት/መሪ,U,,
Energetic Assistant manager,የኢነርጂ ረዳት አስተዳዳሪ,P,,
Energetic Call Center Agent,የኢነርጂ የጥሪ ማዕከል ወኪል,p,,
Energy Modeling: Engineer/Architect,የኢነርጂ ሞዴሊንግ፡ መሐንዲስ/አርክቴክት።,p,,
Energy plant / Boiler operator,የኃይል ማመንጫ / ቦይለር ኦፕሬተር,p,,
Energy product technical engineer,የኢነርጂ ምርት ቴክኒካል መሐንዲስ,p,,
Energy Projects TL & Intern,የኢነርጂ ፕሮጀክቶች TL & Intern,p,,
Engagement Monitoring Specialist,የተሳትፎ ክትትል ስፔሻሊስት,p,,
Engineer,ኢንጅነር,p,,
Engineer and Collateral Valuator( Civil),መሐንዲስ እና መያዣ ቫልዩተር (ሲቪል),p,,
Engineer I – Automotive,መሐንዲስ I - አውቶሞቲቭ,p,,
Engineering Admin Coordinator,የምህንድስና አስተዳዳሪ አስተባባሪ,P,,
Engineering and Architectural Work Senior Advisor,የምህንድስና እና አርክቴክቸር ሥራ ከፍተኛ አማካሪ,P,,
Engineering and Maintenance Manager,የምህንድስና እና የጥገና ሥራ አስኪያጅ,P,,
Engineering Assistant Officer,የምህንድስና ረዳት መኮንን,P,,
Engineering Department Head,የምህንድስና ክፍል ኃላፊ,P,,
Engineering Department Manager,የምህንድስና ክፍል ሥራ አስኪያጅ,P,,
Engineering Drawing I,የምህንድስና ስዕል I,P,,
Engineering Drawing Tutor,የምህንድስና ስዕል አስተማሪ,P,,
Engineering Foreman,የምህንድስና ፎርማን,P,,
Engineering Geologist IV,የምህንድስና ጂኦሎጂስት IV,P,,
engineering hydraulic_engineering deputy_manager,የምህንድስና ሃይድሮሊክ_ኢንጂነሪንግ ምክትል_ስራ አስኪያጅ,P,,
ENGINEERING & MENTENANCE HEAD / TECHINC HEAD,የምህንድስና እና የማስታወስ ራስ / ቴክኒክ ራስ,P,,
Engineering Officer I,የምህንድስና መኮንን I,P,,
Engineering Services Division Head,የምህንድስና አገልግሎቶች ክፍል ኃላፊ,P,,
Engineering Softwares Teacher,የምህንድስና ሶፍትዌር መምህር,P,,
Engineering Store Supervisor,የምህንድስና መደብር ሱፐርቫይዘር,P,,
Engineering & Technical Service,የምህንድስና እና የቴክኒክ አገልግሎት,P,,
Engineering Technician,የምህንድስና ቴክኒሻን,P,,
Engineering & Technology Director,የምህንድስና እና ቴክኖሎጂ ዳይሬክተር,P,,
Engineer Real Estate,ኢንጂነር ሪል እስቴት,P,,
Engineer_ real state,ኢንጅነር_ሪል ግዛት,P,,
Engineer STTA,ኢንጅነር STTA,P,,
English language Home Tutor,የእንግሊዝኛ ቋንቋ የቤት አስጠኚ,P,,
,,,,
English language teacher for YouTube and TikTok,የእንግሊዝኛ ቋንቋ አስተማሪ ለ YouTube እና TikTok,P,,
English Narrator,እንግሊዝኛ ተራኪ,P,,
English Script Writer,የእንግሊዘኛ ስክሪፕት ጸሐፊ,P,,
English Sidamo Translator,እንግሊዝኛ የሲዳሞ ተርጓሚ,P,,
English Teacher for YouTube,የእንግሊዘኛ መምህር ለYouTube,P,,
English to Amharic legal Translators,ከእንግሊዝኛ ወደ አማርኛ የህግ ተርጓሚዎች,P,,
English to Amharic YouTube Video Script Translator,ከእንግሊዝኛ ወደ አማርኛ የዩቲዩብ ቪዲዮ ስክሪፕት ተርጓሚ,P,,
English to Annuak Translator,ከእንግሊዝኛ ወደ አኑዋክ ተርጓሚ,P,,
translator,ተርጓሚ,P,,
English videos translator,የእንግሊዝኛ ቪዲዮዎች ተርጓሚ,P,,
English voice actor,የእንግሊዘኛ ድምጽ ተዋናይ,P,,
English Voiceover /Male / Middle aged American voice,የእንግሊዝኛ ድምጽ ኦቨር / ወንድ / መካከለኛ እድሜ ያለው የአሜሪካ ድምጽ,P,,
English Writer,የእንግሊዘኛ ጸሐፊ,P,,
English YouTube and TikTok teacher,የእንግሊዘኛ የዩቲዩብ እና የቲክ ቶክ መምህር,p,,
Enhancing the rule of law to develop gender equality,የሥርዓተ-ፆታ እኩልነትን ለማሳደግ የህግ የበላይነትን ማጎልበት,p,,
Enterprise Account Executive,የድርጅት መለያ ሥራ አስፈፃሚ,P,,
Enterprise Account Manager,የድርጅት መለያ አስተዳዳሪ,P,,
Enterprise Business Unit Sales Person,የድርጅት ንግድ ክፍል የሽያጭ ሰው,P,,
Enterprise Development Lead,የድርጅት ልማት አመራር,P,,
Enterprise Development Officer,የድርጅት ልማት ኦፊሰር,P,,
Enterprise Division Manager,የድርጅት ክፍል አስተዳዳሪ,P,,
Enterprise IT Engineer,ኢንተርፕራይዝ የአይቲ መሐንዲስ,p,,
Enterprise Network Service Team Lead,የድርጅት አውታረ መረብ አገልግሎት ቡድን መሪ,p,,
Enterprise Sales Executive,የድርጅት ሽያጭ ሥራ አስፈፃሚ,p,,
Enterprise System Manager,የድርጅት ስርዓቶች እና የመተግበሪያ ባለሙያ,p,,
Enterprise Systems and Application Expert,,,,
Entertainment Host,የመዝናኛ አስተናጋጅ,p,,
,,p,,
Entrepreneur and Economic Empowerment Officer,ሥራ ፈጣሪ እና የኢኮኖሚ ማጎልበት ኦፊሰር,p,,
Entrepreneurship and business skill trainer,የስራ ፈጠራ እና የንግድ ችሎታ አሰልጣኝ,p,,
Entrepreneurship and Financial inclusion Officer,የኢንተርፕረነርሺፕ እና የፋይናንስ ማካተት ኦፊሰር,p,,
Entrepreneurship Program,የኢንተርፕረነርሺፕ ፕሮግራም,p,,
Entrepreneurship Training of Trainer (ToT) Expert for BMOs,የአሰልጣኝ (ቶቲ) ኢንተርፕረነርሺፕ ስልጠና ለ BMOs ባለሙያ,p,,
Entry Level IT /Electrical Technician,የመግቢያ ደረጃ IT / ኤሌክትሪክ ቴክኒሻን,p,,
Entry Level Software Engineer,የመግቢያ ደረጃ ሶፍትዌር መሐንዲስ,p,,
Enumerators and Supervisors (24),ቆጣሪዎች እና ተቆጣጣሪዎች,p,,
Enviromental management,የአካባቢ አስተዳደር,p,,
Environmental and Safety Officer,የአካባቢ እና ደህንነት መኮንን,p,,
Environmental and social expert,የአካባቢ እና ማህበራዊ ባለሙያ,p,,
Environmental and Social Governance/ Impact Reporting,የአካባቢ እና ማህበራዊ አስተዳደር/ተፅእኖ ሪፖርት ማድረግ,p,,
Environmental and Social Risk Specialist,የአካባቢ እና ማህበራዊ ስጋት ስፔሻሊስት,p,,
Environmental and Social Safeguards Officer,የአካባቢ እና ማህበራዊ ጥበቃ መኮንን,u,,
Environmental Compliance Assistant,የአካባቢ ተገዢነት ረዳት,p,,
Environmental Engineer,የአካባቢ መሐንዲስ,p,,
Environmental Governance Officer,የአካባቢ አስተዳደር ኦፊሰር,p,,
Environmental Governance Unit Coordinator,የአካባቢ አስተዳደር ክፍል አስተባባሪ,p,,
Environmental Health and Safety (EHS) Officer,የአካባቢ ጤና እና ደህንነት (EHS) ኦፊሰር,p,,
Environmental Health/Emergency Rapid Response Manager,የአካባቢ ጤና/ድንገተኛ ፈጣን ምላሽ አስተዳዳሪ,p,,
Environmental impact assessment,የአካባቢ ተጽዕኖ ግምገማ,p,,
Environmentalist,የአካባቢ ጥበቃ ባለሙያ,u,,
Environmentalist & Safety Officer,የአካባቢ እና ደህንነት ኦፊሰር,p,,
Environmental Management Specialist,የአካባቢ አስተዳደር ስፔሻሊስት,p,,
Environmental Performance Coordinator,የአካባቢ አፈጻጸም አስተባባሪ,p,,
Environmental Planner I,የአካባቢ እቅድ አውጪ I,p,,
Environmental Risk Management (ERM) Specialist,የአካባቢ ስጋት አስተዳደር (ERM) ስፔሻሊስት,p,,
"Environmental, Sanitation and Hygiene Manger","የአካባቢ, የአካባቢ ጽዳትና የግል ንፅህና ጠባቂ",u,,
"Environmental, Social Governance Advisor","የአካባቢ, ማህበራዊ አስተዳደር አማካሪ",p,,
"Environmental, Social, Health and Safety (ESHS) Manager",የአካባቢ፣ ማህበራዊ፣ ጤና እና ደህንነት (ESHS) አስተዳዳሪ,p,,
Environmental & Social Safeguards Expert,የአካባቢ እና ማህበራዊ ጥበቃ ባለሙያ,u,,
Environment Health and Safety (EHS) Officer,የአካባቢ ጤና እና ደህንነት (ኢኤችኤስ) ኦፊሰር,p,,
"Environment, health and safety Officer (SHEQ)",የአካባቢ፣ ጤና እና ደህንነት ኦፊሰር (SHEQ),p,,
"Environment, Health & Safety Coordinator",አካባቢ፣ ጤና እና ደህንነት አስተባባሪ,p,,
Environment & Safety Engineer,የአካባቢ እና ደህንነት መሐንዲስ,p,,
"EO, Internal Audit & Risk Management Department",EO፣ የውስጥ ኦዲት እና ስጋት አስተዳደር መምሪያ,p,,
E-Payment Officer II,ኢ-ክፍያ ኦፊሰር II,p,,
Epidemiologist,ኤፒዲሚዮሎጂስት,p,,
Epidemiologist for Trachoma Elimination Program,ለትራኮማ ማስወገጃ ፕሮግራም ኤፒዲሚዮሎጂስት,p,,
Epidemiologist/ID expert,ኤፒዲሚዮሎጂስት / መታወቂያ ባለሙያ,p,,
EPI Program Coordinator,የኢፒአይ ፕሮግራም አስተባባሪ,p,,
EPI Project Officer,EPI ፕሮጀክት ኦፊሰር,p,,
epoxy teacher,epoxy መምህር,p,,
Equipment Admin Head,የመሣሪያ አስተዳዳሪ ኃላፊ,p,,
Equipment Administration and Maintenance Manager,የመሳሪያዎች አስተዳደር እና ጥገና ሥራ አስኪያጅ,p,,
Equipment Admiration & Maintenance Div. Head,የመሳሪያዎች አድናቆት እና ጥገና ዲቪ. ጭንቅላት,p,,
Equipment and Fleet Manager,መሣሪያዎች እና ፍሊት አስተዳዳሪ,p,,
Equipment Inspection Head,የመሳሪያዎች ቁጥጥር ኃላፊ,p,,
Equipment & Maintenance Manager,መሣሪያዎች እና ጥገና አስተዳዳሪ,p,,
Equipment Maintenance Officer,የመሳሪያዎች ጥገና ኦፊሰር,p,,
Equipment & Plant Maintenance Division Head,የመሳሪያ እና የእፅዋት ጥገና ክፍል ኃላፊ,p,,
Equipment & Plant Maintenance Officer,የመሳሪያ እና የእፅዋት ጥገና ኦፊሰር,p,,
"Equipment Utilization, Evaluation and Control Officer","የመሳሪያዎች አጠቃቀም, ግምገማ እና ቁጥጥር ኦፊሰር",p,,
ER and Compensation Specialist,ER እና ማካካሻ ስፔሻሊስት,p,,
ERP and Data Analyst Internal Audit Head,ኢአርፒ እና የውሂብ ተንታኝ የውስጥ ኦዲት ኃላፊ,p,,
ERP Consultant,የኢአርፒ አማካሪ,p,,
"ERP, CRM, SAP and BI Software Sales Officer",ERP፣ CRM፣ SAP እና BI የሶፍትዌር ሽያጭ ኦፊሰር,p,,
ERP/Database Management Developing Firm,ኢአርፒ/ዳታቤዝ አስተዳደር ገንቢ ድርጅት,p,,
ERP Data Encoder,የኢአርፒ ውሂብ መቀየሪያ,p,,
ERP developer with Microsoft Power Apps,ከማይክሮሶፍት ፓወር መተግበሪያዎች ጋር የኢአርፒ ገንቢ,p,,
ERP developer with ServiceNow and Odoo platform,የኢአርፒ ገንቢ ከServiceNow እና Odoo መድረክ ጋር,p,,
ERP Expert,የኢአርፒ ባለሙያ,p,,
ERP Finance Specialist,የኢአርፒ ፋይናንስ ባለሙያ,p,,
ERP Implementation Analyst,የኢአርፒ ትግበራ ተንታኝ,p,,
ERP Implementation Project Manager,የኢአርፒ ትግበራ ፕሮጀክት አስተዳዳሪ,p,,
ERP Manager,የኢአርፒ አስተዳዳሪ,p,,
ERPNext Developer,ERPNext ገንቢ,p,,
ERP Procurement : Implementation Project Manager,የኢአርፒ ግዥ፡ የትግበራ ፕሮጀክት ስራ አስኪያጅ,p,,
ERP Project Manager,የኢአርፒ ፕሮጀክት አስተዳዳሪ,p,,
ERP Project & Quality Assurance Manager,የኢአርፒ ፕሮጀክት እና የጥራት ማረጋገጫ አስተዳዳሪ,p,,
ERP Roll out implementation Function Intern,ኢአርፒ የትግበራ ተግባር ኢንተርን ልቀቅ,p,,
ERP Sales Consultant,የኢአርፒ የሽያጭ አማካሪ,p,,
ERP Sales Manager,የኢአርፒ የሽያጭ አስተዳዳሪ,p,,
ERP Sales Person,ERP የሽያጭ ሰው,p,,
ERP Sales Representative,የኢአርፒ የሽያጭ ተወካይ,p,,
ERP software development,የኢአርፒ ሶፍትዌር ልማት,p,,
ERP System Developer,የኢአርፒ ስርዓት ገንቢ,p,,
ERP Technical Specialist,የኢአርፒ ቴክኒካል ስፔሻሊስት,p,,
ERP TechnoFunctional Engineer,ERP TechnoFunctional መሐንዲስ,p,,
Ertib bet serategna,እርጥብ ቤት ሰራተኛ,I,,
ES/NFI Cash Assistant,ES/NFI ጥሬ ገንዘብ ረዳት,P,,
ES/NFI Officer,የES/NFI ኦፊሰር,P,,
ESNFI Officer,የESNFI መኮንን,P,,
ESNFI Project Officer,ESNFI ፕሮጀክት ኦፊሰር,P,,
Esports highlights creator (video editing),Esports ድምቀቶች ፈጣሪ (የቪዲዮ ማስተካከያ),P,,
Essay editor,ድርሰት አርታዒ,P,,
Essay writer,ድርሰት ጸሐፊ,P,,
Esthetic Teacher/ክይን ጥበባት መምህር,የሥነ ምግባር መምህር/ክይን ጥበባት መምህር,P,,
ETA Livestock Specialist,የኢቲኤ የእንስሳት እርባታ ባለሙያ,P,,
Ethical hacker and content creator.,የስነምግባር ጠላፊ እና የይዘት ፈጣሪ,P,,
Ethics and Anticorruption Officer,የስነምግባር እና የፀረ-ሙስና ኦፊሰር,P,,
ETHICS & COMPLIANCE MANAGER,የሥነ ምግባር እና ተገዢነት አስተዳዳሪ,P,,
Ethics Monitoring Department Manager,የሥነ ምግባር ክትትል መምሪያ ሥራ አስኪያጅ,P,,
Ethics Officer,የሥነ ምግባር መኮንን,P,,
Ethiopia Electric Utility Interface Coordinator,የኢትዮጵያ ኤሌክትሪክ አገልግሎት በይነገጽ አስተባባሪ,P,,
Ethiopia Finance and Administration Manager,የኢትዮጵያ ፋይናንስና አስተዳደር ሥራ አስኪያጅ,P,,
"Ethiopia Health, Safety and Security (HSS) Specialist",የኢትዮጵያ ጤና፣ ደህንነት እና ደህንነት (HSS) ስፔሻሊስት,P,,
Ethiopia HR and Finance Coordinator,የኢትዮጵያ የሰው ኃይል እና ፋይናንስ አስተባባሪ,P,,
Ethiopia IT Support Officer,Ethiopia IT Support Officer,P,,
Ethiopian and European dish cook,የኢትዮጵያ እና የአውሮፓ ዲሽ ወጥ,P,,
Ethiopian history content writer,የኢትዮጵያ ታሪክ ይዘት ጸሐፊ,P,,
Ethiopia Office and Culture Coordinator,የኢትዮጵያ ጽሕፈት ቤትና ባህል አስተባባሪ,P,,
Ethiopia Procurement Coordinator,የኢትዮጵያ ግዥ አስተባባሪ,P,,
Ethiopia Program Innovation and Fundraising Lead,የኢትዮጵያ ፕሮግራም ፈጠራ እና የገቢ ማሰባሰቢያ መሪ,P,,
Ethiopia Research and Evaluation Analyst,የኢትዮጵያ ጥናትና ምርምር ተንታኝ,P,,
Ethiopia Resilience Measurement Consultant,Ethiopia Resilience Measurement Consultant,P,,
Ethiopia TA Food Environment Officer,Ethiopia TA የምግብ አካባቢ ኦፊሰር,P,,
