informal work in eng,Profession in Amharic,professional/ formal,sector,sub sector
Roving Protection Coordinator,የሮቪንግ ጥበቃ አስተባባሪ,P,,
Roving Risk & Compliance Advisor,የሮቪንግ ስጋት እና ተገዢነት አማካሪ,P,,
Roving Safeguarding Officer,ሮቪንግ የጥበቃ ኦፊሰር,P,,
Roving Safety and Security Coordinator,የሮቪንግ ደህንነት እና ደህንነት አስተባባሪ,P,,
Roving Senior Gender Advisor,የሮቪንግ ከፍተኛ የሥርዓተ-ፆታ አማካሪ,P,,
Roving Senior Project Officer-JEOP Operation,የሮቪንግ ሲኒየር ፕሮጄክት ኦፊሰር-JEOP ኦፕሬሽን,P,,
Roving Supply Chain Manager-Warehouse,የሮቪንግ አቅርቦት ሰንሰለት አስተዳዳሪ-መጋዘን,P,,
Roving WASH Coordinator,Roving WASH አስተባባሪ,P,,
"Roving Water, Sanitation, and Hygiene (WaSH) Advisor",የሮቪንግ ውሃ፣ ሳኒቴሽን እና ንፅህና (ዋሽ) አማካሪ,P,,
Ruby developer position,Ruby ገንቢ ቦታ,U,,
Ruby on rails developer,በባቡር ሐዲድ ላይ ገንቢ Ruby,U,,
Ruby software engineer,Ruby ሶፍትዌር መሐንዲስ,P,,
Runner and Patient Coordinator,ሯጭ እና ታካሚ አስተባባሪ,U,,
Rural Development Advisor,የገጠር ልማት አማካሪ,P,,
Rural Development and Livelihood Project Manager,የገጠር ልማት እና መተዳደሪያ ፕሮጀክት ሥራ አስኪያጅ,P,,
Rural Micro Finance Specialist,የገጠር ማይክሮ ፋይናንስ ባለሙያ,P,,
Russian translators,የሩሲያ ተርጓሚዎች,P,,
S/Quantity Surveyor,ኤስ/የብዛት ዳሳሽ,P,,
SAAS Developer,SAAS Developer,U,,
Safaricom Shop Manager,Safaricom ሱቅ አስተዳዳሪ,P,,
Safe and Inclusive Programming Officer,ደህንነቱ የተጠበቀ እና አካታች የፕሮግራሚንግ ኦፊሰር,P,,
Safe Guarding and Gender focal person,ደህንነቱ የተጠበቀ ጥበቃ እና የሥርዓተ-ፆታ ትኩረት ሰው,P,,
Safe Programing Officer,ደህንነቱ የተጠበቀ ፕሮግራም ኦፊሰር,P,,
SAFE4HCF Infrastructure Design coordinator,SAFE4HCF የመሠረተ ልማት ንድፍ አስተባባሪ,P,,
Safeguarding and Accountability Officer,ጥበቃ እና ተጠያቂነት ኦፊሰር,P,,
Safeguarding and Protection Coordinator,ጥበቃ እና ጥበቃ አስተባባሪ,P,,
Safeguarding Officer,የጥበቃ መኮንን,P,,
Safety & Insurance Officer,የደህንነት እና ኢንሹራንስ ኦፊሰር,P,,
Safety & Security Head,የደህንነት እና ደህንነት ኃላፊ,P,,
Safety & Security Manager,የደህንነት እና ደህንነት አስተዳዳሪ,P,,
Safety & Security Supervisor,የደህንነት እና ደህንነት ተቆጣጣሪ,P,,
Safety and Environmental Engineer,የደህንነት እና የአካባቢ መሐንዲስ,P,,
Safety and Environmental Officer,የደህንነት እና የአካባቢ ጥበቃ ኃላፊ,P,,
Safety and Health Coordinator,የደህንነት እና የጤና አስተባባሪ,P,,
Safety and Health Engineer,ደህንነት እና ጤና መሐንዲስ,P,,
Safety and Health Manager,ደህንነት እና ጤና አስተዳዳሪ,P,,
Safety and Health Officer,የደህንነት እና የጤና መኮንን,P,,
Safety and Safety equipment officer,የደህንነት እና የደህንነት መሳሪያዎች መኮንን,P,,
Safety and Sample Management Officer,የደህንነት እና ናሙና አስተዳደር ኦፊሰር,P,,
Safety and Security Officer,የደህንነት እና ደህንነት መኮንን,P,,
Safety Compliance Officer,የደህንነት ተገዢነት ኦፊሰር,P,,
Safety Engineer,የደህንነት መሐንዲስ,P,,
Safety Health Environment & Security Officer (SHESO),የደህንነት ጤና አካባቢ እና ደህንነት ኦፊሰር (SHESO),P,,
Safety Manager,የደህንነት አስተዳዳሪ,P,,
Safety Officer,የደኅንነት መኰንን,P,,
Safety Security and Access Officer,የደህንነት ጥበቃ እና የመዳረሻ ኦፊሰር,P,,
Safety steward,የደህንነት መጋቢ,P,,
Safety Technician,የደህንነት ቴክኒሻን,P,,
"Safety, Health & Environment Expert",የደህንነት፣ የጤና እና የአካባቢ ጥበቃ ባለሙያ,P,,
"Safety, Health and Environmental (SHE) Officer",የደህንነት፣ ጤና እና አካባቢ (SHE) ኦፊሰር,P,,
"Safety, Health and Environmental Safety Specialist",ደህንነት፣ ጤና እና የአካባቢ ደህንነት ባለሙያ,P,,
"Safety, Security and Access Officer",የደህንነት፣ የደህንነት እና የመዳረሻ ኦፊሰር,P,,
Saho/ Irob to English translator,ሳሆ/ ኢሮብ ወደ እንግሊዝኛ ተርጓሚ,P,,
Salama Hub Program Coordinator,Salama Hub ፕሮግራም አስተባባሪ,U,,
Sales & Banquet Manager,የሽያጭ እና ግብዣ አስተዳዳሪ,P,,
Sales & BTL Manager,የሽያጭ እና የቢቲኤል አስተዳዳሪ,U,,
Sales & Marketer,ሽያጭ እና ገበያተኛ,P,,
Sales & Promoter,ሽያጭ እና አስተዋዋቂ,P,,
Sales & Retention Officer II,የሽያጭ እና ማቆያ ኦፊሰር II,P,,
Sales & Retention Supervisor,የሽያጭ እና የማቆየት ተቆጣጣሪ,P,,
Sales & Social Media Manager,የሽያጭ እና ማህበራዊ ሚዲያ አስተዳዳሪ,P,,
Sales Agronomist,የሽያጭ አግሮኖሚስት,P,,
Sales Analyst & Director Assistant,ሽያጭ ተንታኝ እና ዳይሬክተር ረዳት,P,,
Sales Analyst & Market Research Officer,የሽያጭ ተንታኝ እና የገበያ ጥናት ኦፊሰር,P,,
Sales Analyst & Supervisor,የሽያጭ ተንታኝ እና ተቆጣጣሪ,P,,
Sales and Credit Collection Division Head,የሽያጭ እና የብድር ክምችት ክፍል ኃላፊ,P,,
Sales and Design Manager,የሽያጭ እና ዲዛይን አስተዳዳሪ,P,,
Sales and Dish Technicians,የሽያጭ እና ዲሽ ቴክኒሻኖች,U,,
Sales and Distribution Coordinator,የሽያጭ እና ስርጭት አስተባባሪ,P,,
Sales and Distribution Head,የሽያጭ እና ስርጭት ኃላፊ,P,,
Sales and Distribution Manager,የሽያጭ እና ስርጭት አስተዳዳሪ,P,,
Sales and Distributions Portfolio Manager,የሽያጭ እና የስርጭት ፖርትፎሊዮ አስተዳዳሪ,P,,
Sales and Driver,ሽያጭ እና ሹፌር,P,,
Sales and Event Coordinator,የሽያጭ እና ክስተት አስተባባሪ,P,,
Sales and factory mechanic,የሽያጭ እና የፋብሪካ መካኒክ,P,,
Sales and Front desk,የሽያጭ እና የፊት ጠረጴዛ,P,,
Sales And Graphics designer,የሽያጭ እና ግራፊክስ ዲዛይነር,P,,
Sales and Inventory,ሽያጭ እና ክምችት,P,,
sales and junior accountant,የሽያጭ እና ጁኒየር አካውንታንት,P,,
Sales and junior engineer,የሽያጭ እና ጁኒየር መሐንዲስ,P,,
Sales and Marketing Assistant,የሽያጭ እና ግብይት ረዳት,P,,
Sales and Marketing Associates,የሽያጭ እና የግብይት ተባባሪዎች,P,,
sales and marketing coordinator,የሽያጭ እና ግብይት አስተባባሪ,P,,
Sales and Marketing Director,የሽያጭ እና ግብይት ዳይሬክተር,P,,
Sales and Marketing Engineer,የሽያጭ እና ግብይት መሐንዲስ,P,,
Sales and Marketing Executive,የሽያጭ እና ግብይት ሥራ አስፈፃሚ,P,,
Sales and marketing officer,የሽያጭ እና የግብይት ኦፊሰር,P,,
Sales and Marketing Representative,የሽያጭ እና ግብይት ተወካይ,P,,
Sales and marketing senior officer,የሽያጭ እና የግብይት ከፍተኛ መኮንን,P,,
Sales and Marketing Specialist,የሽያጭ እና ግብይት ስፔሻሊስት,P,,
Sales and marketing strategy developer,የሽያጭ እና የግብይት ስትራቴጂ ገንቢ,P,,
Sales and marketing supervisor,የሽያጭ እና ግብይት ተቆጣጣሪ,P,,
Sales and Marketing Teacher,የሽያጭ እና ግብይት መምህር,P,,
Sales and Network Marketing,የሽያጭ እና የአውታረ መረብ ግብይት,P,,
Sales Capability Specialist,የሽያጭ ችሎታ ስፔሻሊስት,P,,
Sales Data Analysis,የሽያጭ ውሂብ ትንተና,P,,
Sales Director,የሽያጭ ዳይሬክተር,P,,
Sales Dispatcher,የሽያጭ አስተላላፊ,P,,
Sales Electrical Engineer,የሽያጭ ኤሌክትሪክ መሐንዲስ,P,,
Sales Electro Mechanical Engineer,የሽያጭ ኤሌክትሮ ሜካኒካል መሐንዲስ,P,,
Sales Employees Trainer,የሽያጭ ሰራተኞች አሰልጣኝ,P,,
Sales markating,የሽያጭ ግብይት,P,,
Sales Market Research & Promotion Division Head,የሽያጭ ገበያ ምርምር እና ማስተዋወቂያ ክፍል ኃላፊ,P,,
Sales Operation (Fleet) Manager,የሽያጭ ኦፕሬሽን (ፍሊት) አስተዳዳሪ,P,,
Sales Operation Coordinator,የሽያጭ ኦፕሬሽን አስተባባሪ,P,,
Sales Operation Manager,የሽያጭ ሥራ አስኪያጅ,P,,
Sales or Brand Ambassadors,የሽያጭ ወይም የምርት አምባሳደሮች,U,,
Sales Order Booker,የሽያጭ ማዘዣ ደብተር,P,,
Sales Pharmacist /Veterinary/,የሽያጭ ፋርማሲስት / የእንስሳት ህክምና /,P,,
Sales Pitcher,የሽያጭ ፒቸር,U,,
Salsa Instructor,ሳልሳ አስተማሪ,P,,
Salt broker,የጨው ደላላ,U,,
Salt Sales Person,የጨው ሽያጭ ሰው,U,,
Salvage & Recovery Handling Clerk I,የማዳን እና መልሶ ማግኛ አያያዝ ጸሐፊ I,U,,
Salvage & Recovery Handling Clerk II,የማዳን እና መልሶ ማግኛ አያያዝ ጸሐፊ II,U,,
Sample Collection officer,የናሙና ስብስብ መኮንን,P,,
Sample intake & customer service,ናሙና ቅበላ እና የደንበኛ አገልግሎት,P,,
Sand Maker Operator,የአሸዋ ሰሪ ኦፕሬተር,P,,
sandbox for windows,ማጠሪያ ለዊንዶውስ,U,,
Sanitarian,የንጽህና ባለሙያ,U,,
Sanitary & Hygiene officer,የንፅህና እና የንፅህና ባለሙያ,P,,
Sanitary and Electrical Engineer,የንፅህና እና የኤሌክትሪክ መሐንዲስ,P,,
Sanitary Design Engineer,የንፅህና ዲዛይን መሐንዲስ,P,,
Sanitary design supervisor,የንፅህና ዲዛይን ተቆጣጣሪ,P,,
Sanitary drawing draftsman,የንፅህና ስዕል ንድፍ አውጪ,P,,
Sanitary engineer,የንፅህና መሐንዲስ,P,,
Sanitary Engineer PPSE,የንፅህና መሐንዲስ PPSE,U,,
Sanitary Engineer/ Hydraulic Engineer,የንፅህና መሐንዲስ / የሃይድሮሊክ መሐንዲስ,P,,
Sanitary Expert,የንፅህና ባለሙያ,P,,
Sanitary Foreman,የንፅህና ፎርማን,P,,
Sanitary Officer,የንፅህና ባለሙያ,P,,
Sanitary Superintendent,የንፅህና ተቆጣጣሪ,U,,
Sanitary Technician,የንፅህና ቴክኒሻን,P,,
Sanitatio and Hygiene Promotion Assistatnt,ሳኒታቲዮ እና ንጽህና ማስተዋወቅ ረዳት,U,,
Sanitation & Hygiene Promotion Manager,የአካባቢ ጽዳትና የግል ንፅህና ማስተዋወቂያ ሥራ አስኪያጅ,P,,
Sanitation & Hygiene Specialist,የአካባቢ ጽዳትና የግል ንፅህና ባለሙያ,P,,
Sanitation and Hygiene Coordinator,የአካባቢ ጽዳትና የግል ንፅህና አስተባባሪ,P,,
SAP BI and Tableau Implementation Consultant,SAP BI እና Tableau ትግበራ አማካሪ,P,,
SAP DEVELOPER,SAP ገንቢ,P,,
SAP Finance and Controlling (FICO) Consultant,SAP ፋይናንስ እና ቁጥጥር (FICO) አማካሪ,P,,
Saponification Operator,Saponification ኦፕሬተር,P,,
Saponification Supervisors,Saponification ተቆጣጣሪዎች,P,,
SAQ Engineer,SAQ መሐንዲስ,P,,
SAQ Team Leader,SAQ ቡድን መሪ,P,,
Saris SRH Clinic Coordinator,የሳሪስ ኤስአርኤች ክሊኒክ አስተባባሪ,P,,
Satellite Store Keeper,የሳተላይት መደብር ጠባቂ,U,,
Satellite Store Man,የሳተላይት መደብር ሰው,U,,
Saving & Credit Officer,የቁጠባ እና የብድር ኦፊሰር,P,,
Saving and Credit Unit Head,ቁጠባ እና ብድር ክፍል ኃላፊ,P,,
Saving And Credit Unit Officer,የቁጠባ እና የብድር ክፍል ኦፊሰር,P,,
saxophone player,ሳክስፎን ማጫወቻ,U,,
SBC Advisor-Family Planning and MCH,የኤስቢሲ አማካሪ-የቤተሰብ እቅድ እና ኤም.ሲ.ኤች,U,,
SBC Coordinator,የኤስቢሲ አስተባባሪ,U,,
Scada developer,Scada ገንቢ,U,,
SCASI Senior Program Manager,SCASI ሲኒየር ፕሮግራም አስተዳዳሪ,U,,
Scheduler,መርሐግብር አዘጋጅ,U,,
Scheduling and Dispatching Officer,መርሐግብር እና መላኪያ ኦፊሰር,P,,
Scholarship agent,የስኮላርሺፕ ወኪል,U,,
Scholarship Application Assistance,የስኮላርሺፕ ማመልከቻ እርዳታ,U,,
Scholarship counselor,የስኮላርሺፕ አማካሪ,P,,
School Administrator,የትምህርት ቤት አስተዳዳሪ,P,,
School data encoder,የትምህርት ቤት መረጃ መቀየሪያ,U,,
School director,የትምህርት ቤት ዳይሬክተር,P,,
School Feeding Supervisor,የትምህርት ቤት አመጋገብ ተቆጣጣሪ,U,,
School Guidance & Counselor,የትምህርት ቤት መመሪያ እና አማካሪ,P,,
School Guidance and Counselor & Teachers,የትምህርት ቤት መመሪያ እና አማካሪ እና አስተማሪዎች,P,,
School Guidance and Counselors,የትምህርት ቤት መመሪያ እና አማካሪዎች,P,,
School Health and Nutrition Coordination Advisor,የትምህርት ቤት ጤና እና አመጋገብ ማስተባበሪያ አማካሪ,P,,
School Laboratory Technicians,የትምህርት ቤት ላቦራቶሪ ቴክኒሻኖች,P,,
School Librarian,የትምህርት ቤት የቤተመጽሐፍት ባለሙያ,P,,
School Management System Developer/ Agency,የትምህርት ቤት አስተዳደር ስርዓት ገንቢ/ ኤጀንሲ,U,,
school nurse,የትምህርት ቤት ነርስ,P,,
School Psychologist,የትምህርት ቤት ሳይኮሎጂስት,P,,
School Research Affiliate Program finder,የትምህርት ቤት ምርምር ተባባሪ ፕሮግራም አግኚ,U,,
"School Secretaries, Receptionist","የትምህርት ቤት ፀሐፊዎች, እንግዳ ተቀባይ",P,,
School Service/Driver/,የትምህርት ቤት አገልግሎት/ሹፌር/,P,,
School Software Sales,የትምህርት ቤት ሶፍትዌር ሽያጭ,U,,
School Staff,የትምህርት ቤት ሰራተኞች,U,,
School Supervisor,የትምህርት ቤት ተቆጣጣሪ,P,,
School Traffic Control and Crossing Guards,የትምህርት ቤት የትራፊክ ቁጥጥር እና መሻገሪያ ጠባቂዎች,P,,
Science Center Curator,የሳይንስ ማዕከል ጠባቂ,U,,
Science Center Director,የሳይንስ ማዕከል ዳይሬክተር,P,,
Science department head for high school,የሁለተኛ ደረጃ ትምህርት ቤት የሳይንስ ክፍል ኃላፊ,P,,
Science Laboratory Coordinator,የሳይንስ ላብራቶሪ አስተባባሪ,P,,
Science Laboratory Supervisors,የሳይንስ ላብራቶሪ ተቆጣጣሪዎች,P,,
Scientific Research Writing Trainer,የሳይንሳዊ ምርምር ጽሑፍ አሠልጣኝ,U,,
SCM (supply chain management) Specialist,SCM (የአቅርቦት ሰንሰለት አስተዳደር) ስፔሻሊስት,P,,
Scooter Driver,የእስኩተር ሹፈር,P,,
"SCORE, MUSIC COMPOSER FOR FILM",ውጤት፣ የሙዚቃ አቀናባሪ ለፊልም,P,,
Scouts for street marketing campaign,ስካውት ለጎዳና ግብይት ዘመቻ,U,,
Screen printer and t shirt designer,የስክሪን አታሚ እና ቲሸርት ዲዛይነር,P,,
Screening and Enrollment Research Assistant,የማጣሪያ እና የምዝገባ ጥናት ረዳት,P,,
Screenplay writer,ስክሪንፕሌይ ደራሲ,P,,
Script Narrator,የስክሪፕት ተራኪ,U,,
Script Reviewer,የስክሪፕት ገምጋሚ,U,,
Script supervisor,ኮንቲኒቲ,P,,
Script translator,የስክሪፕት ተርጓሚ,U,,
Scrub Nurse,ነርስ ማሸት,P,,
Scrum master,Scrum ዋና,U,,
Sculpture artist (clay),የቅርጻ ቅርጽ አርቲስት (ሸክላ),P,,
