informal work in eng,Profession  in Amharic,Professional / Informal,sector,sub sector,Profession in Amharic,professional/ formal
ob Title: SEO expert,,,ICT and digital work,Software Design Development and Implementation Works,ob ርዕስ: SEO ባለሙያ,P
OBGN Specialist,,,Health,Health,OBGYN ስፔሻሊስት,P
Occupational Health Advisor,,,Health,Health,የሙያ ጤና አማካሪ,P
Occupational health and safety officer,,,Service,Occupational Safety and Health Care Consulting Service,የሙያ ጤና እና ደህንነት መኮንን,P
Occupational Health Nurse,,,Health,Health,የሙያ ጤና ነርስ,P
Occupational Safety Officer,,,Service,Occupational Safety and Health Care Consulting Service,የሙያ ደህንነት መኮንን,P
Occupational Safety Specialist,,,Service,Occupational Safety and Health Care Consulting Service,የሙያ ደህንነት ስፔሻሊስት,P
"Occupational, Behavioral or Speech Therapist",,,Health,Health,"የሙያ, የባህሪ ወይም የንግግር ቴራፒስት",P
ODA Officer (Development Assistance Officer),,,Service,Other services,የኦዲኤ ኦፊሰር (የልማት ድጋፍ ኦፊሰር),P
Odd Maintainer / Data Encoder,,,ICT and digital work,Database organization and data processing,ያልተለመደ ማቆያ / የውሂብ ኢንኮደር,P
Odoo ERP customization,,,ICT and digital work,Software Design Development and Implementation Works,የኦዱ ኢአርፒ ማበጀት,P
Odoo erp developer,,,ICT and digital work,Software Design Development and Implementation Works,የኦዱ ኢርፕ ገንቢ,P
Odoo ERP functional consultant,,,ICT and digital work,Software Design Development and Implementation Works,የኦዱ ኢአርፒ ተግባራዊ አማካሪ,P
Odoo Expert,,,ICT and digital work,Software Design Development and Implementation Works,ኦዱ ኤክስፐርት,P
Odoo Functional Consultant,,,ICT and digital work,Software Design Development and Implementation Works,ኦዱ ተግባራዊ አማካሪ,P
Odoo functional/technical junior consultant,,,ICT and digital work,Software Design Development and Implementation Works,ኦዱ ተግባራዊ/የቴክኒክ ጁኒየር አማካሪ,P
Odoo Software Developer,,,ICT and digital work,Software Design Development and Implementation Works,የኦዱ ሶፍትዌር ገንቢ,P
Off Farm and Youth Specialist,,,agriculture,Mixed agriculture,ከእርሻ ውጪ እና የወጣቶች ስፔሻሊስት,P
OFF- FARM ENTERPRISE TECHNICAL SPECIALIST- HIGHLANDS RESILIENCE ACTIVITY,,,agriculture,Mixed agriculture,ግብርና ኢንተርፕራይዝ ቴክኒካል ልዩ ባለሙያ - ሃይላንድስ የመቋቋም እንቅስቃሴ,P
Office assistant with BASIC GRAPHICS SOFTWARE SKILL,,,Service,Other services,የመሠረታዊ ግራፊክስ ሶፍትዌር ችሎታ ያለው የቢሮ ረዳት,P
Office assistant with basic photoshop skill,,,Service,Other services,ከመሠረታዊ የፎቶሾፕ ችሎታ ጋር የቢሮ ረዳት,P
Office Equipment Officer,,,Service,Rent office equipment and supplies (including computer),የቢሮ እቃዎች ኦፊሰር,P
Office equipment repair and maintainance,,,Service,Equipment and machine installation and maintenance service,ቢሮ እቃዎች ጥገና እና ጥገና,P
Office Equipment Technician,,,Service,Equipment and machine installation and maintenance service,ቢሮ እቃዎች ቴክኒሻን,P
Office Furniture Designer,,,Manufacturing,Manufacture of home and office furniture,የቢሮ ዕቃዎች ዲዛይነር,P
Office Furniture Sales Supervisor,,,Business,Home and Office Furniture Decorations & Utilities Retail,የቢሮ ዕቃዎች ሽያጭ ተቆጣጣሪ,P
Office girl and messenger,,,Service,Other services,የቢሮ ሴት እና መልእክተኛ,P
Office Manager and Admin,,,Service,Accounting audit and adminstrative works,የቢሮ አስተዳዳሪ እና አስተዳዳሪ,P
Office Manager and Communications Specialist,,,Service,Other services,የቢሮ ሥራ አስኪያጅ እና የግንኙነት ባለሙያ,P
Office manager and contact person,,,Service,Other services,የቢሮ ሥራ አስኪያጅ እና የእውቂያ ሰው,P
Office Manager and Executive Assistant,,,Service,Accounting audit and adminstrative works,የቢሮ ሥራ አስኪያጅ እና ሥራ አስፈፃሚ ረዳት,P
Office manager and Graphics,,,Service,Other services,የቢሮ ሥራ አስኪያጅ እና ግራፊክስ,P
Office Registrar,,,Service,Accounting audit and adminstrative works,የቢሮ መዝጋቢ,P
Office Sales Consultant,,,Business,Retail trade in specialized stores,የቢሮ ሽያጭ አማካሪ,P
Office Sales Person,,,Business,Retail trade in specialized stores,የቢሮ ሽያጭ ሰው,P
Office Security,,,Service,Security Service,የቢሮ ደህንነት,U
Office Shatter/Blinds worker,,,Construction,Building finishing works,(ሻተር ሰራተኛ,P
Office Solutions (Furniture) Division Head,,,Business,Home and Office Furniture Decorations & Utilities Retail,የቢሮ መፍትሄዎች (የቤት እቃዎች) ክፍል ኃላፊ,P
Office stationary product sales,,,Business,"Wholesale of paper, plastic and scratch packaging, paper products and stationery",የቢሮ ቋሚ ምርት ሽያጭ,P
Office Structural Engineer,,,Economic Infrastructure,Building Construction,የቢሮ መዋቅራዊ መሐንዲስ,P
Office Supplies Purchaser,,,Business,"Wholesale of paper, plastic and scratch packaging, paper products and stationery",የቢሮ ዕቃዎች ገዢ,P
Office supply manager,,,Business,"Wholesale of paper, plastic and scratch packaging, paper products and stationery",የቢሮ አቅርቦት ኃላፊ,P
Officer - ATM Services,,,Service,Finance and Administration Services,ኦፊሰር - የኤቲኤም አገልግሎቶች,P
Officer Dispute Management - For Omni channel Dep’t,,,Service,Other services,ኦፊሰር ክርክር አስተዳደር,P
Officer Fund Management,,,Service,Finance and Administration Services,ኦፊሰር ፈንድ አስተዳደር,P
Officer Furniture Sales Designer,,,Business,Home and Office Furniture Decorations & Utilities Retail,ኦፊሰር የቤት ዕቃዎች ሽያጭ ዲዛይነር,P
Officer Import Services,,,Service,Logistics Supply and Support Services (outside of other business sectors),ኦፊሰር አስመጪ አገልግሎቶች,P
Officer Property Management,,,Service,Estimating the cost of housing sales and collecting rental income,ኦፊሰር ንብረት አስተዳደር,P
Officer Remittance,,,Service,Finance and Administration Services,ኦፊሰር ማስተላለፍ,P
"Officer, Child Protection",,,Service,Social work services,"መኮንን, የልጅ ጥበቃ",P
"Officer, Information Technology Risk",,,Service,Information and Communication Technology Consulting Service,"ኦፊሰር, የኢንፎርሜሽን ቴክኖሎጂ ስጋት",P
"Officer, Operational Risk",,,Service,Quality Management Consulting Service,"ኦፊሰር, የክወና ስጋት",P
"Officer, Permit",,,Service,Other services,"ኦፊሰር, ፍቃድ",P
OHS Officer,,,Service,Occupational Safety and Health Care Consulting Service,የኦኤችኤስ ኦፊሰር,P
Oil Machin supervisor,,,Manufacturing,Manufacturing of cooking oil,የነዳጅ ማሽን ተቆጣጣሪ,P
Oilseeds Supply Chain Manager / Center Manager,,,Business,Wholesale of agricultural products for raw materials,የቅባት እህሎች አቅርቦት ሰንሰለት አስተዳዳሪ / ማዕከል አስተዳዳሪ,P
Old Tax Debt Tracking Specialist,,,Service,Finance and Administration Services,የድሮ የታክስ ዕዳ መከታተያ ስፔሻሊስት,P
ON- FARM ENTERPRISE SPECIALIST- HIGHLANDS RESILIENCE ACTIVITY,,,agriculture,Mixed agriculture,በግብርና ኢንተርፕራይዝ ላይ ልዩ ባለሙያ - ሃይላንድስ የመቋቋም እንቅስቃሴ,P
ON- FARM ENTERPRISE TECHNICAL SPECIALIST- HIGHLANDS RESILIENCE ACTIVITY,,,agriculture,Mixed agriculture,በእርሻ ላይ ኢንተርፕራይዝ ቴክኒካል ስፔሻሊስት - ሃይላንድስ የመቋቋም እንቅስቃሴ,P
Online and call agents,,,Service,Other services,የመስመር ላይ እና የጥሪ ወኪሎች,U
Online Child care(Parenting) Coaching,,,Service,Social work services,የመስመር ላይ የልጅ እንክብካቤ(የወላጅነት) ማሰልጠኛ,P
Online Computer science teacher,,,Service,"Other not-mentioned educational services (private tutoring, etc.)",የመስመር ላይ የኮምፒውተር ሳይንስ መምህር,P
Online Course Curator,,,Service,"Other not-mentioned educational services (private tutoring, etc.)",የመስመር ላይ ኮርስ ጠባቂ,P
Online course developer,,,Education,other,የመስመር ላይ ኮርስ ገንቢ,P
Online Fashion Customer Support Representative,,,Service,Other services,የመስመር ላይ ፋሽን የደንበኛ ድጋፍ ተወካይ,P
Online Freelance Marketing,,,Service,Advertising,የመስመር ላይ የፍሪላንስ ግብይት,P
Online Product Lister,,,Business,Retail trade in specialized stores,የመስመር ላይ ምርት ዝርዝር,U
Online Program Coordinator,,,Service,Other services,የመስመር ላይ ፕሮግራም አስተባባሪ,P
Online promoter,,,Service,Advertising,የመስመር ላይ አስተዋዋቂ,P
Online Sales Agent,,,Business,Retail trade in specialized stores,የመስመር ላይ የሽያጭ ወኪል,P
Online Volunteerism,,,Service,Social work services,የመስመር ላይ በጎ ፈቃደኝነት,U
Operation Center Coordinator,,,Service,Other services,የክወና ማዕከል አስተባባሪ,P
Operation Department Manager,,,Service,Other services,ኦፕሬሽን ዲፓርትመንት ሥራ አስኪያጅ,P
Operation Head,,,Service,Other services,ኦፕሬሽን ኃላፊ,P
Operational Budget Preparation and Control Expert,,,Service,Finance and Administration Services,የክዋኔ በጀት ዝግጅት እና ቁጥጥር ባለሙያ,P
Operations and Digital Support Coordinator,,,ICT and digital work,General research and experimental development work,ኦፕሬሽኖች እና ዲጂታል ድጋፍ አስተባባሪ,P
Operations and Fleet Management Deputy-Manager,,,"Logistics, transportation and communication",Other supportive transportation services,ኦፕሬሽንስ እና ፍሊት አስተዳደር ምክትል ሥራ አስኪያጅ,P
Operations and Procurement Coordinator,,,Service,Other services,ኦፕሬሽን እና ግዥ አስተባባሪ,P
Operations Manager for Delivery Company,,,"Logistics, transportation and communication",Other supportive transportation services,የማስረከቢያ ኩባንያ ኦፕሬሽን ሥራ አስኪያጅ,P
Operations Supervisor,,,Service,Other services,ኦፕሬሽንስ ተቆጣጣሪ,P
Operations Support Manager,,,Service,Other services,የክዋኔዎች ድጋፍ አስተዳዳሪ,P
Operator and elecrician,,,Service,Equipment and machine installation and maintenance service,ኦፕሬተር እና ኤሌክሪሲያን,P
Operator Mechanic,,,Service,Equipment and machine installation and maintenance service,ኦፕሬተር መካኒክ,P
Opportunity Coordinator Intern,,,Service,Other services,የዕድል አስተባባሪ ኢንተር,P
Optic Fibre Cable Designers/Planners,,,ICT and digital work,Computer network design deployment and implementation tasks,ኦፕቲክ ፋይበር ኬብል ዲዛይነሮች/ፕላነሮች,P
Optic Fibre Cable Splicers,,,ICT and digital work,Installation and maintenance of telecommunication external cable installation,ኦፕቲክ ፋይበር ኬብል ስፕላስተሮች,P
Optical salesperson,,,Business,Retail trade in specialized stores,የኦፕቲካል ሻጭ,P
Optometrist,,,Health,Health,የዓይን ሐኪም,P
Oracle APEX developer,,,ICT and digital work,Software Design Development and Implementation Works,Oracle APEX ገንቢ,P
Order picker/ Warehouse activity operator,,,"Logistics, transportation and communication",Stroage and warehousing service,ትዕዛዝ መራጭ/ የመጋዘን እንቅስቃሴ ኦፕሬተር,U
Order Processing Officer,,,Service,Other services,የትዕዛዝ ማቀነባበሪያ ኦፊሰር,P
Order taker,,,Service,Other services,ትእዛዝ ሰጪ,U
Order taker and Display (caker),,,Service,Other services,ትዕዛዝ አቅራቢ እና ማሳያ (ኬከር),U
Organization Design & Change Management Officer II,,,Service,Consulting service around social science,የድርጅት ዲዛይን እና ለውጥ አስተዳደር ኦፊሰር II,P
Organization Development and Stakeholders Engagement Officer,,,Service,Consulting service around social science,የድርጅት ልማት እና ባለድርሻ አካላት ተሳትፎ ኦፊሰር,P
Organizational Budget Preparation & Control Expert,,,Service,Accounting audit and adminstrative works,ድርጅታዊ በጀት ዝግጅት እና ቁጥጥር ባለሙያ,P
Organizational Business Development (OBD) Officer,,,Service,Business Promotion Service,ድርጅታዊ የንግድ ልማት (ኦቢዲ) ኦፊሰር,P
Organizational Development and Management Advisor,,,Service,Consulting service around social science,ድርጅታዊ ልማት እና አስተዳደር አማካሪ,P
Organizational Transformation Director,,,Service,Consulting service around social science,ድርጅታዊ ትራንስፎርሜሽን ዳይሬክተር,P
Original Article Writer,,,Tourism and art,Journalism,ዋናው ጽሑፍ ጸሐፊ,P
Oromiffa Localization and Translation expert,,,Service,Other services,የኦሮሚፋ የአካባቢ እና የትርጉም ባለሙያ,P
Oromiffa Phone Call Support,,,Service,Other services,Oromiffa የስልክ ጥሪ ድጋፍ,U
Oromiffa podcats host,,,Tourism and art,Journalism,Oromiffa podcats አስተናጋጅ,U
